GSM,condition,coarse_compartment_preliminary,cells
GSM4729097,normal_skin,endothelial,290
GSM4729097,normal_skin,fibroblast,424
GSM4729097,normal_skin,immune,151
GSM4729097,normal_skin,keratinocyte,145
GSM4729097,normal_skin,pericyte_smc,96
GSM4729098,normal_skin,endothelial,473
GSM4729098,normal_skin,fibroblast,1484
GSM4729098,normal_skin,immune,611
GSM4729098,normal_skin,keratinocyte,1004
GSM4729098,normal_skin,pericyte_smc,349
GSM4729099,normal_skin,endothelial,58
GSM4729099,normal_skin,fibroblast,211
GSM4729099,normal_skin,immune,63
GSM4729099,normal_skin,keratinocyte,332
GSM4729099,normal_skin,pericyte_smc,45
GSM4729100,hypertrophic_scar,endothelial,513
GSM4729100,hypertrophic_scar,fibroblast,1456
GSM4729100,hypertrophic_scar,immune,692
GSM4729100,hypertrophic_scar,keratinocyte,292
GSM4729100,hypertrophic_scar,pericyte_smc,232
GSM4729101,hypertrophic_scar,endothelial,1013
GSM4729101,hypertrophic_scar,fibroblast,4705
GSM4729101,hypertrophic_scar,immune,763
GSM4729101,hypertrophic_scar,keratinocyte,616
GSM4729101,hypertrophic_scar,pericyte_smc,901
GSM4729102,hypertrophic_scar,endothelial,517
GSM4729102,hypertrophic_scar,fibroblast,3483
GSM4729102,hypertrophic_scar,immune,876
GSM4729102,hypertrophic_scar,keratinocyte,258
GSM4729102,hypertrophic_scar,pericyte_smc,205
