condition,reviewed_cell_compartment,samples,total_cells,ECM_organization_score1,collagen_formation_score1,collagen_biosynthesis_score1,neutrophil_degranulation_score1,innate_immune_system_score1,cell_cycle_mitotic_score1
hypertrophic_scar,T_cell,3,1676,-0.01872050723805618,-0.08997034403541107,-0.09238343978420419,0.11992110196402382,0.11198670745612671,0.05305908367786749
hypertrophic_scar,activated_fibroblast_POSTN_ADAM12,3,2743,0.2647546137299474,0.31582405934194496,0.4011218097965782,0.1792554694497408,0.15086953835041161,0.04347091377259279
hypertrophic_scar,basal_keratinocyte,3,1144,0.004145857991807534,-0.050066172473091045,-0.06857851921146108,0.1420455418749963,0.12647392579973474,0.08251473281818178
hypertrophic_scar,endothelial_IGF2,2,3,0.0832600756626408,0.05019972616375695,-0.015297095349598125,0.1146354603898288,0.08583007591755168,0.0057397163324685915
hypertrophic_scar,fibroblast_CILP,2,7,0.32455569083223257,0.3165183542019123,0.3840240576871552,0.21332251101920097,0.1647295511242109,0.028488165424916063
hypertrophic_scar,fibroblast_CXCL12_APOE,3,1387,0.19893726568862455,0.1983953066764254,0.26646513701680097,0.17951129761185547,0.15458811805791484,0.05039436787256862
hypertrophic_scar,fibroblast_CXCL14_CFD,3,2239,0.19885883140051866,0.26054426859188423,0.339066653964605,0.1137572129468314,0.09405339399411257,0.03213194261507673
hypertrophic_scar,fibroblast_PCOLCE2_IGFBP6,3,932,0.32152177594177817,0.34429597319884336,0.42047238702783296,0.21358534615595165,0.1707395401941408,0.048950668907691654
hypertrophic_scar,fibroblast_PI16_ELN,3,739,0.29711737696877627,0.3519130697102585,0.4441989169865671,0.19872798976137102,0.1591298419046178,0.04464143845935293
hypertrophic_scar,fibroblast_TWIST1,2,10,0.1417503391968133,0.1407145337988015,0.1817633327692209,0.08330847579569414,0.07398469375908084,0.030000137352594825
hypertrophic_scar,lymphatic_endothelial,3,481,0.051146312802375256,-0.03979040599877983,-0.06503333794903599,0.1734576577002821,0.1514734306339376,0.071211522497549
hypertrophic_scar,melanocyte,3,46,-2.2921049465576362e-4,-0.07662530416097164,-0.10019847246720166,0.2389823307556488,0.17828897620160236,0.08209596506426194
hypertrophic_scar,myeloid_macrophage,3,937,-0.0052026545377024174,-0.06962959468882628,-0.10572179529711855,0.23935469346310057,0.18964206139240167,0.04163828389856611
hypertrophic_scar,pericyte_smc,3,1139,0.07348488095926207,0.02358002451727956,0.04758265353821034,0.12980293900358533,0.11840472322342069,0.06565915598641162
hypertrophic_scar,schwann_like,1,36,0.22310863594350075,0.31219531042101656,0.35541195171234635,0.2223212193015812,0.18454030339959449,0.10371334687092945
hypertrophic_scar,vascular_endothelial_ACKR1,3,1449,0.026477772325645164,-0.08886574274024232,-0.11428961684259388,0.17127465210796672,0.1649738410614541,0.06439521566470233
hypertrophic_scar,vascular_endothelial_PECAM1,3,1554,0.08364672487025232,0.03401227810982298,0.047484362497681926,0.12109370843957512,0.11022097942071418,0.03768285263958616
normal_skin,T_cell,3,428,-0.013372541920383542,-0.08340977645931429,-0.0931265796655255,0.10813974014069157,0.09778132545817321,0.04200815532991474
normal_skin,activated_fibroblast_POSTN_ADAM12,1,1,-0.012223455083194508,-0.05357838709245092,-0.05382724418696713,0.14022248812829893,0.12033704298918169,0.02485948476989333
normal_skin,basal_keratinocyte,3,1066,0.0010401035470853112,-0.06291125052041055,-0.1042191894227717,0.11965786388265949,0.1073880591328576,0.06340624829509246
normal_skin,endothelial_IGF2,1,112,0.02201750209403259,-0.045330279703525836,-0.06476061625177154,0.052750297718460064,0.0612286856779877,0.012735576638940224
normal_skin,fibroblast_CILP,2,651,0.24089938469725675,0.1857902461994542,0.21851141068455965,0.20793863998787732,0.16666245114362935,0.04130118197106881
normal_skin,fibroblast_CXCL12_APOE,2,1005,0.14231788666604533,0.06618069935205065,0.09605415522121451,0.18334175970269323,0.1588316986088284,0.053501905254588936
normal_skin,fibroblast_CXCL14_CFD,3,12,0.12378876044761797,0.1454706677237162,0.19945907213440653,0.0861398495417586,0.0772545430050362,0.01911538802306512
normal_skin,fibroblast_PCOLCE2_IGFBP6,1,6,0.27139704592716984,0.27792437337969583,0.34798872349105325,0.2006588545900586,0.1679959950735908,0.05846050273789946
normal_skin,fibroblast_PI16_ELN,2,4,0.22073466645233836,0.18915233709207457,0.2206369532582441,0.18279167632269466,0.15317977157464457,0.03151809737236337
normal_skin,fibroblast_TWIST1,1,715,0.10744479850168148,0.06009442877561526,0.08208866984871065,0.07436476912888534,0.06411861144685266,0.012205726581140122
normal_skin,lymphatic_endothelial,3,83,0.01546818731611808,-0.08280713577152053,-0.10752408426817944,0.13877183986426866,0.11593135599096208,0.04492040944531583
normal_skin,melanocyte,3,217,0.020416015321467966,-0.0512994568782073,-0.07375939639121439,0.17219443753227395,0.12866820123457126,0.0463769685985552
normal_skin,myeloid_macrophage,3,736,-0.004139998606975385,-0.06989715789462295,-0.11449783144985297,0.20686498027519815,0.16095049754101307,0.03197858319125452
normal_skin,pericyte_smc,2,360,0.047246733431906614,-0.038998526626383326,-0.035425468407931884,0.12916010325925625,0.11640191415000209,0.06023348659958916
normal_skin,schwann_like,1,1,0.08898130736021824,0.09533894545684873,0.11482361161385676,0.18858534438535418,0.17484829790362474,0.06680466141037028
normal_skin,vascular_endothelial_ACKR1,2,282,0.002167716085578175,-0.1272776368710359,-0.15656331761980313,0.17850406207256986,0.16340599991616245,0.06156656403480687
normal_skin,vascular_endothelial_PECAM1,3,57,0.04055033782165374,-0.026527393699345446,-0.05520409562590179,0.08625127757942105,0.08773711269704386,0.022780122771129927
