Sample_name,Condition,Donor,Seq_Batch,annotated_spots,ECM_organization,collagen_formation,collagen_biosynthesis,neutrophil_degranulation,innate_immune_system,cell_cycle_mitotic
Donor1_Skin,Skin,Donor1,1,810,0.3067889129111587,0.39208650541984424,0.4458666592866703,0.26442982193927533,0.18426504685775816,0.1247086820016605
Donor1_Wound1,Wound1,Donor1,1,1832,0.14089588743394335,0.1557223775065145,0.13834452468550731,0.2541466515767475,0.17242112593431688,0.11476709757723443
Donor1_Wound30,Wound30,Donor1,1,1278,0.30884185577000584,0.39633341690425633,0.4413683471688005,0.3142765907087276,0.21980045584052219,0.15772784948282842
Donor1_Wound7,Wound7,Donor1,1,1689,0.2747484794926362,0.37375149174534295,0.32656440660668146,0.3841725343878797,0.25794681905047484,0.18535658362493435
Donor2_Skin,Skin,Donor2,2,842,0.31153177917355035,0.37607656133951467,0.42355862435960207,0.2743865640091651,0.187914091481885,0.12769655001526561
Donor2_Wound1,Wound1,Donor2,2,1758,0.20682770532107989,0.23141192608027933,0.1962321189611769,0.321095951977953,0.2206608408004724,0.1577207039254414
Donor2_Wound30,Wound30,Donor2,2,2205,0.45732450284716936,0.6602205294079555,0.7708693676274094,0.3263545633934661,0.2326157802448377,0.1737208506185285
Donor2_Wound7,Wound7,Donor2,2,1606,0.2040391188910404,0.2528517645594451,0.24298831311804087,0.25187459084479313,0.17613992973022993,0.12765216820570016
Donor3_Skin,Skin,Donor3,3,685,0.18403350881830152,0.2667012777343771,0.30252094286734915,0.18901920067480948,0.12687515104347488,0.093184512167014
Donor3_Wound1,Wound1,Donor3,3,1317,0.14725920293230949,0.16881434804045725,0.1300054889667266,0.27233859064637983,0.1861197727579453,0.1383999517775535
Donor3_Wound30,Wound30,Donor3,3,2019,0.3101618999666126,0.440180538712341,0.5067884988943832,0.25243020661336896,0.1811201851179911,0.1339513122514888
Donor3_Wound7,Wound7,Donor3,3,1537,0.3051920026249609,0.404838939916943,0.4115898228789354,0.3445184591329128,0.23935181567557,0.17642934566431664
Donor4_Skin,Skin,Donor4,3,740,0.21832889189485996,0.2747778924794274,0.3118842319668662,0.2326619599194537,0.16072724893562898,0.12395225977851197
Donor4_Wound1,Wound1,Donor4,3,1608,0.22751132142687097,0.26476222812944455,0.24163863226819043,0.3414845386470922,0.234872345008832,0.17013637676947685
Donor4_Wound30,Wound30,Donor4,3,1777,0.3852669316218536,0.5233973842168532,0.604407193529465,0.29524545801435975,0.21253730492155493,0.15581765438077574
Donor4_Wound7,Wound7,Donor4,3,1212,0.30884668762394524,0.4109424925207158,0.41279245203250786,0.36936989307353457,0.25669808963823804,0.20173507528139845
